"id","name","bic","country/id","zip","city","street","email","phone"
"ADDIKO","Addiko bank dd Sarajevo","ADDIKO","base.bs",71000,"Sarajevo","Trg solidarnosti 12","info.fbih@addiko.com","+387 33/866-666"
"ASA","ASA Banka dd Sarajevo","ASA","base.bs",71000,"Sarajevo","Trg međunarodnog prijateljstva 25","info@asabanka.ba","+387 33/586-870"
"ASA2","ASA Naša i snažna dd Sarajevo","ASA2","base.bs",71000,"Sarajevo","Fra Anđela Zvizdovića 1","info@asabanka.ba","+387 33/294-700"
"BBI","Bosna Bank International dd Sarajevo","BBI","base.bs",71000,"Sarajevo","Trg djece Sarajeva bb","info@bbi.ba","+387 33/275-100"
"INTESA","Intesa Sanpaolo Banka dd Sarajevo","INTESA","base.bs",71000,"Sarajevo","Obala Kulina bana 9a","info@intesasanpaolobanka.ba","+387 33/497-555"
"KIVK","Komercijalno-investiciona banka dd V.Kladuša","KIVK","base.bs",77230,"Velika Kladuša","Tone Horvata bb","info@kib-banka.com.ba","+387 37/771-253"
"NLB","NLB Banka dd Sarajevo","NLB","base.bs",71000,"Sarajevo","Koševo 3","info@nlb.ba","+387 33/720-300"
"PBSA","Privredna banka Sarajevo dd Sarajevo","PBSA","base.bs",71000,"Sarajevo","Obala Kulina bana 18","info@pbs.ba","+387 33/278-520"
"PROCRED","ProCredit Bank dd Sarajevo","PROCRED","base.bs",71000,"Sarajevo","Franca Lehara bb","info@procreditbank.ba","+387 33/250-950"
"RAIFF","Raiffeisen Bank dd BiH","RAIFF","base.bs",71000,"Sarajevo","Zmaja od Bosne bb","info@raiffeisenbank.ba","+387 33/755-010"
"RAZFBIH","Razvojna banka Federacije BiH","RAZFBIH","base.bs",71000,"Sarajevo","Igmanska 1","info@rbfbih.ba","+387 33/724-900"
"SPARK","Sparkasse Bank dd BiH","SPARK","base.bs",71000,"Sarajevo","Zmaja od Bosne 7","info@sparkasse.ba","+387 80/020-201"
"UNIKRED","UniCredit Bank dd Mostar","UNIKRED","base.bs",88000,"Mostar","Kardinala Stepinca bb","info@unicredit.ba","+387 36/312-112"
"UNION","Union banka dd Sarajevo","UNION","base.bs",71000,"Sarajevo","Hamdije Kreševljakovića 19","info@unionbank.ba","+387 33/561-000"
"ZIRAAT","ZiraatBank BH dd Sarajevo","ZIRAAT","base.bs",71000,"Sarajevo","Zmaja od Bosne 47c","informacije@ziraatbank.ba","+387 33/955-015"
"MF","MF banka ad Banja Luka","MF","base.bs",78000,"Banja Luka","Aleja Svetog Save 61","info@mfbanka.com","+387 51/240-300"
